id,column,old,new
109,oeffnungszeiten,2. Adventswochenende: 05. bis 07.12.2025  | 3. Adventswochenende: 12. bis 14.12.2025  | Freitags 15:00 – 20:00 Uhr  | Samstags und Sonntags 12:00 – 20:00 Uhr,05.12.2025 bis 07.12.2025 | 12.12.2025 bis 14.12.2025
109,bemerkungen,"Die Alte Feuerwache ist barrierefrei von außen zugänglich, die 6. Etage des THF TOWERs ist barrierefrei über einen Fahrstuhl zugänglich. Wintermarkt in der Alten Feuerwache am THF TOWER mit: - Foodtrucks &amp; Glühwein  - Handgemachten Designobjekten und Geschenkideen - Weihnachtlicher Musik - Basteln &amp; Weihnachtsfilme für Kinder (6. Etage des THF TOWERs) |  Außerdem findet am 14.12. ein großes Weihnachtssingen in der ehemaligen Haupthalle des Flughafen Tempelhof statt!","Wintermarkt in der Alten Feuerwache am THF TOWER mit Foodtrucks & Glühwein, Handgemachten Designobjekten und Geschenkideen, Weihnachtlicher Musik,Familienprogramm und großem Weihnachtssingen in der Haupthalle. | Barrierefreier Zugang."
