id,name,image,urheberschaft
132,Spandauer Weihnachtsmarkt,Spandau_Weihnachtsmarkt.jpg,"Colin Smith, CC BY-SA 2.0 via Wikimedia Commons"
69,Lucia Weihnachtsmarkt in der Kulturbrauerei 2024,Lucia_Weihnachtsmarkt.jpg,"Auto1234, CC BY-SA 3.0 via Wikimedia Commons"
123,Weihnachtsmarkt am Schloss Charlottenburg,Weihnachtsmarkt_Schloss_Charlottenburg.jpg,"Heidi zu Klampen, CC BY-SA 3.0 via Wikimedia Commons"
174,Weihnachtsmarkt an der Kaiser-Wilhelm-Gedächtniskirche,weihnachtsmarkt_Breitscheidplatz.jpg,"Ralf Roletschek, GFDL 1.2 via Wikimedia Commons"
96,Adventsmarkt im Rathaus Charlottenburg,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
126,Schwedischer Weihnachtsbasar,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
45,Weihnachtsmarkt Pankow (Am Schloss Schönhausen),placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
18,Weihnachtsmarkt Alt-Marzahn,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
153,Umwelt- und Weihnachtsmarkt in der Sophienstraße,Christmas_market_Sophienstraße_Berlin.jpg,"Leonhard Lenz, CC Zero, Public Domain Dedication"
159,"Der ""etwas andere"" Weihnachtsmarkt",placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
120,„Bunt in eine besinnliche Zeit – Wir leben Weihnachten“,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
33,Prenzlauer Weihnachtsmarkt,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
9,Alt-Buckower Adventsmarkt,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
